,precision,recall,f1-score,label,time
0,0.999965,0.999854,0.999909,BENIGN,
1,0.999435,0.999269,0.999352,DoS Hulk,
2,0.997804,0.999321,0.998560,SSH-Patator,
3,0.999691,0.999256,0.999474,PortScan,
4,0.985406,0.994850,0.990096,DoS GoldenEye,
5,0.999765,0.999687,0.999726,DDoS,
6,1.0,1.0,1.0,Heartbleed,
7,0.72775,0.698712,0.711567,Web Attack Brute Force,
8,0.999370,0.999748,0.999559,FTP-Patator,
9,0.374094,0.411145,0.389695,Web Attack XSS,
10,0.985717,0.987577,0.986641,DoS slowloris,
11,0.971428,0.942857,0.956044,Infiltration,
12,0.878477,0.96831,0.920111,Bot,
13,0.788888,0.659999,0.665714,Web Attack Sql Injection,
14,0.984109,0.989634,0.986858,DoS Slowhttptest,
15,-,-,-,-,
16,-,-,0.999379,Accuracy,
17,0.912793,0.910014,0.906887,Macro Avg,
18,0.999403,0.999379,0.999387,Weighted Avg,66.28600109020869
